"ID","Profile","Brand","Price","Type","Gear","Options"
"ID_10782","Profile15","Audi",20000,"SUV","auto","all"
"ID_10782","Profile11","BMW",25000,"berline","manual","some"
"ID_10782","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10782","Profile13","BMW",15000,"city car","auto","all"
"ID_10782","Profile8","Audi",15000,"berline","auto","some"
"ID_10782","Profile11","BMW",25000,"berline","manual","some"
"ID_10782","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10782","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10782","Profile13","BMW",15000,"city car","auto","all"
"ID_10782","Profile15","Audi",20000,"SUV","auto","all"
"ID_10782","Profile5","BMW",20000,"berline","manual","none"
"ID_10782","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10782","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10782","Profile11","BMW",25000,"berline","manual","some"
"ID_10782","Profile15","Audi",20000,"SUV","auto","all"
"ID_10782","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10782","Profile1","BMW",30000,"city car","auto","none"
"ID_10782","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10785","Profile2","Audi",15000,"berline","auto","none"
"ID_10785","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10785","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10785","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10785","Profile16","Audi",25000,"city car","manual","all"
"ID_10785","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10785","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10785","Profile11","BMW",25000,"berline","manual","some"
"ID_10785","Profile8","Audi",15000,"berline","auto","some"
"ID_10785","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10785","Profile1","BMW",30000,"city car","auto","none"
"ID_10785","Profile13","BMW",15000,"city car","auto","all"
"ID_10785","Profile1","BMW",30000,"city car","auto","none"
"ID_10785","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10785","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10785","Profile5","BMW",20000,"berline","manual","none"
"ID_10785","Profile12","Audi",30000,"SUV","manual","some"
"ID_10785","Profile11","BMW",25000,"berline","manual","some"
"ID_10834","Profile12","Audi",30000,"SUV","manual","some"
"ID_10834","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10834","Profile11","BMW",25000,"berline","manual","some"
"ID_10834","Profile2","Audi",15000,"berline","auto","none"
"ID_10834","Profile18","BMW",15000,"SUV","manual","all"
"ID_10834","Profile16","Audi",25000,"city car","manual","all"
"ID_10834","Profile12","Audi",30000,"SUV","manual","some"
"ID_10834","Profile11","BMW",25000,"berline","manual","some"
"ID_10834","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10834","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10834","Profile4","Audi",20000,"city car","manual","none"
"ID_10834","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10834","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10834","Profile13","BMW",15000,"city car","auto","all"
"ID_10834","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10834","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10834","Profile4","Audi",20000,"city car","manual","none"
"ID_10834","Profile1","BMW",30000,"city car","auto","none"
"ID_10835","Profile5","BMW",20000,"berline","manual","none"
"ID_10835","Profile18","BMW",15000,"SUV","manual","all"
"ID_10835","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10835","Profile12","Audi",30000,"SUV","manual","some"
"ID_10835","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10835","Profile8","Audi",15000,"berline","auto","some"
"ID_10835","Profile11","BMW",25000,"berline","manual","some"
"ID_10835","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10835","Profile15","Audi",20000,"SUV","auto","all"
"ID_10835","Profile1","BMW",30000,"city car","auto","none"
"ID_10835","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10835","Profile5","BMW",20000,"berline","manual","none"
"ID_10835","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10835","Profile8","Audi",15000,"berline","auto","some"
"ID_10835","Profile2","Audi",15000,"berline","auto","none"
"ID_10835","Profile5","BMW",20000,"berline","manual","none"
"ID_10835","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10835","Profile4","Audi",20000,"city car","manual","none"
"ID_10836","Profile15","Audi",20000,"SUV","auto","all"
"ID_10836","Profile11","BMW",25000,"berline","manual","some"
"ID_10836","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10836","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10836","Profile2","Audi",15000,"berline","auto","none"
"ID_10836","Profile15","Audi",20000,"SUV","auto","all"
"ID_10836","Profile9","BMW",20000,"SUV","auto","some"
"ID_10836","Profile13","BMW",15000,"city car","auto","all"
"ID_10836","Profile18","BMW",15000,"SUV","manual","all"
"ID_10836","Profile4","Audi",20000,"city car","manual","none"
"ID_10836","Profile2","Audi",15000,"berline","auto","none"
"ID_10836","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10836","Profile9","BMW",20000,"SUV","auto","some"
"ID_10836","Profile1","BMW",30000,"city car","auto","none"
"ID_10836","Profile18","BMW",15000,"SUV","manual","all"
"ID_10836","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10836","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10836","Profile11","BMW",25000,"berline","manual","some"
"ID_10841","Profile11","BMW",25000,"berline","manual","some"
"ID_10841","Profile1","BMW",30000,"city car","auto","none"
"ID_10841","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10841","Profile4","Audi",20000,"city car","manual","none"
"ID_10841","Profile9","BMW",20000,"SUV","auto","some"
"ID_10841","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10841","Profile2","Audi",15000,"berline","auto","none"
"ID_10841","Profile1","BMW",30000,"city car","auto","none"
"ID_10841","Profile12","Audi",30000,"SUV","manual","some"
"ID_10841","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10841","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10841","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10841","Profile15","Audi",20000,"SUV","auto","all"
"ID_10841","Profile13","BMW",15000,"city car","auto","all"
"ID_10841","Profile5","BMW",20000,"berline","manual","none"
"ID_10841","Profile5","BMW",20000,"berline","manual","none"
"ID_10841","Profile13","BMW",15000,"city car","auto","all"
"ID_10841","Profile15","Audi",20000,"SUV","auto","all"
"ID_10842","Profile4","Audi",20000,"city car","manual","none"
"ID_10842","Profile15","Audi",20000,"SUV","auto","all"
"ID_10842","Profile1","BMW",30000,"city car","auto","none"
"ID_10842","Profile12","Audi",30000,"SUV","manual","some"
"ID_10842","Profile2","Audi",15000,"berline","auto","none"
"ID_10842","Profile16","Audi",25000,"city car","manual","all"
"ID_10842","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10842","Profile15","Audi",20000,"SUV","auto","all"
"ID_10842","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10842","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10842","Profile8","Audi",15000,"berline","auto","some"
"ID_10842","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10842","Profile1","BMW",30000,"city car","auto","none"
"ID_10842","Profile8","Audi",15000,"berline","auto","some"
"ID_10842","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10842","Profile16","Audi",25000,"city car","manual","all"
"ID_10842","Profile8","Audi",15000,"berline","auto","some"
"ID_10842","Profile18","BMW",15000,"SUV","manual","all"
"ID_10843","Profile12","Audi",30000,"SUV","manual","some"
"ID_10843","Profile11","BMW",25000,"berline","manual","some"
"ID_10843","Profile8","Audi",15000,"berline","auto","some"
"ID_10843","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10843","Profile15","Audi",20000,"SUV","auto","all"
"ID_10843","Profile5","BMW",20000,"berline","manual","none"
"ID_10843","Profile9","BMW",20000,"SUV","auto","some"
"ID_10843","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10843","Profile1","BMW",30000,"city car","auto","none"
"ID_10843","Profile12","Audi",30000,"SUV","manual","some"
"ID_10843","Profile4","Audi",20000,"city car","manual","none"
"ID_10843","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10843","Profile11","BMW",25000,"berline","manual","some"
"ID_10843","Profile16","Audi",25000,"city car","manual","all"
"ID_10843","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10843","Profile11","BMW",25000,"berline","manual","some"
"ID_10843","Profile2","Audi",15000,"berline","auto","none"
"ID_10843","Profile13","BMW",15000,"city car","auto","all"
"ID_10844","Profile11","BMW",25000,"berline","manual","some"
"ID_10844","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10844","Profile18","BMW",15000,"SUV","manual","all"
"ID_10844","Profile16","Audi",25000,"city car","manual","all"
"ID_10844","Profile9","BMW",20000,"SUV","auto","some"
"ID_10844","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10844","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10844","Profile11","BMW",25000,"berline","manual","some"
"ID_10844","Profile8","Audi",15000,"berline","auto","some"
"ID_10844","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10844","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10844","Profile9","BMW",20000,"SUV","auto","some"
"ID_10844","Profile9","BMW",20000,"SUV","auto","some"
"ID_10844","Profile18","BMW",15000,"SUV","manual","all"
"ID_10844","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10844","Profile16","Audi",25000,"city car","manual","all"
"ID_10844","Profile14","Mercedes",20000,"berline","auto","all"
"ID_10844","Profile17","Mercedes",30000,"berline","manual","all"
"ID_10845","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10845","Profile9","BMW",20000,"SUV","auto","some"
"ID_10845","Profile13","BMW",15000,"city car","auto","all"
"ID_10845","Profile7","Mercedes",20000,"city car","auto","some"
"ID_10845","Profile8","Audi",15000,"berline","auto","some"
"ID_10845","Profile15","Audi",20000,"SUV","auto","all"
"ID_10845","Profile15","Audi",20000,"SUV","auto","all"
"ID_10845","Profile1","BMW",30000,"city car","auto","none"
"ID_10845","Profile3","Mercedes",25000,"SUV","auto","none"
"ID_10845","Profile9","BMW",20000,"SUV","auto","some"
"ID_10845","Profile13","BMW",15000,"city car","auto","all"
"ID_10845","Profile8","Audi",15000,"berline","auto","some"
"ID_10845","Profile16","Audi",25000,"city car","manual","all"
"ID_10845","Profile10","Mercedes",15000,"city car","manual","some"
"ID_10845","Profile2","Audi",15000,"berline","auto","none"
"ID_10845","Profile13","BMW",15000,"city car","auto","all"
"ID_10845","Profile6","Mercedes",15000,"SUV","manual","none"
"ID_10845","Profile15","Audi",20000,"SUV","auto","all"
